38000.000000,0.000000
39139.945147,0.053579
39912.965828,0.114246
37690.264531,0.050008
40191.455701,0.135907
38038.232043,0.140187
36293.889691,0.212106
37350.958902,0.228571
37773.054811,0.269805
35933.568276,0.319968
39493.237835,0.295331
39020.902088,0.334650
38104.957178,0.395890
43210.993033,0.395867
39220.109652,0.392109
37616.977951,0.450787
39104.615304,0.495196
35057.924537,0.506338
37040.019285,0.576382
39898.036060,0.537205
39863.645339,0.645425
40672.626235,0.621679
37433.403572,0.655569
38475.189331,0.737326
42125.739789,0.701087
39179.224328,0.808811
38471.816981,0.767101
41347.174380,0.810024
39793.685427,0.842523
41179.222893,0.918287
40494.615750,0.903695
36858.222598,0.907851
40688.729955,0.910142
38942.585406,1.008470
42861.740561,1.020755
41638.235190,1.054176
43517.153954,1.129098
40425.800145,1.098977
38497.615262,1.137434
40850.881777,1.168736
36344.733775,1.175949
40568.000274,1.242882
42870.507865,1.245654
37096.551729,1.288188
40747.525739,1.357288
40390.222099,1.373656
40101.322102,1.378503
42515.429984,1.387559
39350.959271,1.476316
37941.496504,1.431385
